Country,Update,Confirmed,Deaths,Recovered
Italy,2020-02-29T18:03:05,1128,29,46
France,2020-02-29T19:03:04,100,2,12
Germany,2020-02-29T14:43:03,79,0,16
Spain,2020-02-29T19:13:08,45,0,2
UK,2020-02-29T18:03:05,23,0,8
Switzerland,2020-02-29T18:03:05,18,0,0
Norway,2020-02-29T23:13:06,15,0,0
Sweden,2020-02-29T14:43:03,12,0,0
Austria,2020-02-29T14:43:03,9,0,0
Croatia,2020-02-29T18:03:05,6,0,0
Netherlands,2020-02-29T18:03:05,6,0,0
Greece,2020-02-28T15:33:03,4,0,0
Denmark,2020-02-29T18:03:05,3,0,0
Finland,2020-02-29T05:23:03,3,0,1
Romania,2020-02-28T15:33:03,3,0,0
Russia,2020-02-12T14:43:03,2,0,2
Belarus,2020-02-28T16:23:03,1,0,0
Belgium,2020-02-17T04:23:06,1,0,1
Estonia,2020-02-27T16:23:03,1,0,0
Georgia,2020-02-27T16:23:03,1,0,0
Iceland,2020-02-29T00:33:01,1,0,0
Ireland,2020-02-29T22:33:03,1,0,0
Lithuania,2020-02-28T16:23:03,1,0,0
Luxembourg,2020-02-29T21:03:05,1,0,0
Monaco,2020-02-29T00:33:01,1,0,0
North Macedonia,2020-02-27T16:23:03,1,0,0
San Marino,2020-02-27T21:13:10,1,0,0
