Country,Update,Confirmed,Deaths,Recovered
Italy,2020-02-26T23:43:03,453,12,3
Germany,2020-02-26T23:43:03,27,0,15
France,2020-02-26T20:03:06,18,2,11
Spain,2020-02-26T20:43:02,13,0,2
UK,2020-02-24T08:33:02,13,0,8
Croatia,2020-02-26T20:03:06,3,0,0
Austria,2020-02-26T00:13:06,2,0,0
Finland,2020-02-26T19:03:08,2,0,1
Russia,2020-02-12T14:43:03,2,0,2
Sweden,2020-02-26T18:53:02,2,0,0
Belgium,2020-02-17T04:23:06,1,0,1
Greece,2020-02-26T15:53:05,1,0,0
North Macedonia,2020-02-26T19:03:08,1,0,0
Norway,2020-02-26T20:23:12,1,0,0
Romania,2020-02-26T23:43:03,1,0,0
Switzerland,2020-02-25T19:13:21,1,0,0
