Country,Last Update,Confirmed,Deaths,Recovered
Italy,2020-02-27T23:23:02,655,17,45
Germany,2020-02-27T23:13:04,46,0,16
France,2020-02-27T22:13:10,38,2,11
Spain,2020-02-27T13:23:02,15,0,2
UK,2020-02-27T13:23:02,15,0,8
Switzerland,2020-02-27T23:03:11,8,0,0
Sweden,2020-02-27T20:33:02,7,0,0
Austria,2020-02-27T14:03:03,3,0,0
Croatia,2020-02-26T20:03:06,3,0,0
Greece,2020-02-27T14:03:03,3,0,0
Finland,2020-02-26T19:03:08,2,0,1
Russia,2020-02-12T14:43:03,2,0,2
Belgium,2020-02-17T04:23:06,1,0,1
Denmark,2020-02-27T16:23:03,1,0,0
Estonia,2020-02-27T16:23:03,1,0,0
Georgia,2020-02-27T16:23:03,1,0,0
Netherlands,2020-02-27T21:13:10,1,0,0
North Macedonia,2020-02-27T16:23:03,1,0,0
Norway,2020-02-27T16:23:03,1,0,0
Romania,2020-02-27T16:23:03,1,0,0
San Marino,2020-02-27T21:13:10,1,0,0
