Country,Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Italy,2020-03-07T17:33:03,5883,233,589,43,12
France,2020-03-07T20:33:02,949,11,12,47,2
Germany,2020-03-07T17:43:05,799,0,18,51,9
Spain,2020-03-07T17:43:05,500,10,30,40,-4
Switzerland,2020-03-07T17:43:05,268,1,3,46.8182,8.2275
UK,2020-03-07T17:43:05,206,2,18,55,-3
Netherlands,2020-03-07T17:43:05,188,1,0,52.1326,5.2913
Belgium,2020-03-07T17:53:03,169,0,1,50.8333,4
Sweden,2020-03-07T17:53:03,161,0,0,63,16
Norway,2020-03-07T17:53:03,147,0,0,60.472,8.4689
Austria,2020-03-07T17:53:03,79,0,0,47.5162,14.5501
Iceland,2020-03-07T18:13:27,50,0,0,64.9631,-19.0208
Greece,2020-03-07T18:13:27,46,0,0,39.0742,21.8243
Denmark,2020-03-06T13:03:12,23,0,1,56.2639,9.5018
San Marino,2020-03-07T02:13:08,23,1,0,43.9424,12.4578
Portugal,2020-03-07T18:33:02,20,0,0,39.3999,-8.2245
Czech Republic,2020-03-07T02:03:29,19,0,0,49.8175,15.473
Ireland,2020-03-06T20:43:03,18,0,0,53.1424,-7.6921
Finland,2020-03-06T13:03:12,15,0,1,64,26
Russia,2020-03-06T20:43:03,13,0,2,60,90
Croatia,2020-03-07T10:13:23,12,0,0,45.1667,15.5
Estonia,2020-03-06T13:03:13,10,0,0,58.5953,25.0136
Azerbaijan,2020-03-07T02:13:09,9,0,0,40.1431,47.5769
Romania,2020-03-07T10:13:23,9,0,3,46,25
Australia,2020-03-06T04:23:08,7,0,2,-34.9285,138.6007
Slovenia,2020-03-06T15:33:03,7,0,0,46.1512,14.9955
Belarus,2020-03-04T12:43:03,6,0,0,53.7098,27.9534
Poland,2020-03-06T16:43:04,5,0,0,51.9194,19.1451
Georgia,2020-03-05T13:53:03,4,0,0,42.3154,43.3569
Hungary,2020-03-07T03:53:03,4,0,0,47.1625,19.5033
Bosnia and Herzegovina,2020-03-07T02:13:09,3,0,0,43.9159,17.6791
Malta,2020-03-07T20:43:03,3,0,0,35.9375,14.3754
North Macedonia,2020-03-06T20:23:11,3,0,0,41.6086,21.7453
Luxembourg,2020-03-06T01:29:39,2,0,0,49.8144,6.1317
Andorra,2020-03-02T20:23:16,1,0,0,42.5063,1.5218
Armenia,2020-03-01T19:53:02,1,0,0,40.0691,45.0382
Faroe Islands,2020-03-04T12:53:03,1,0,0,61.8926,-6.9118
Gibraltar,2020-03-04T13:03:13,1,0,0,36.1408,-5.3536
Latvia,2020-03-04T01:33:07,1,0,0,56.8796,24.6032
Liechtenstein,2020-03-04T01:33:07,1,0,0,47.14,9.55
Lithuania,2020-02-28T16:23:03,1,0,0,55.1694,23.8813
Monaco,2020-02-29T00:33:01,1,0,0,43.7333,7.4167
Serbia,2020-03-06T15:43:02,1,0,0,44.0165,21.0059
Slovakia,2020-03-06T13:03:14,1,0,0,48.669,19.699
Ukraine,2020-03-03T15:33:02,1,0,0,48.3794,31.1656
Vatican City,2020-03-06T15:43:02,1,0,0,41.9029,12.4534
